CQ Identifier,Ontology Story,CQ,Duplication / Note,SPARQL ID,Link to SPARQL Query in GitHub Repository
16a.01,There is a product that was produced by a company which does not exist anymore. An authority still wants to have access to the respective DPP information of this product because the product is still on the market and consumers still own it.,"Is the actor, who provided the DPP information still active/existing?",left for future research,,
16a.02,,Is the information that was provided by this actor still available?,,SPARQL_13,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_13.sparql
16a.03,,"If yes, where?",,SPARQL_14,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_14.sparql
16c.01,There is a product that was produced by a company which does not exist anymore. A consumer still wants to have access to the respective DPP information of this product because the product is still in the market and the consumer owns one of them.,"Is the actor, who provided the DPP information still active/existing?",same as 16a.01,,
16c.02,,Is the information that was provided by this actor still available?,same as 16a.02,,
16c.03,,"If yes, where?",same as 16a.03,,
16v.01,"There is a product that was produced by a company which does not exist anymore. A value chain actor (e.g., repairer) wants to have access to the respective DPP information of this product because the product is still in the market and the repairer repairs one of these products and therefore wants to get the product composition information of this product from the DPP and also wants to update the respective DPP information after he repaired the product.","Is the actor, who provided the DPP information still active/existing?",same as 16a.01,,
16v.02,,Is the information that was provided by this actor still available?,same as 16a.02,,
16v.03,,"If yes, where?",same as 16a.03,,
17a.01,"A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allow for querying and reasoning with temporal information.","When was this piece of information/statement recorded/observed, added to the DPP, changed, or when does it cease to be valid?",,SPARQL_15,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_15.sparql
17a.02,,"When was this DPP created, updated, changed, or ceased to be valid?",,SPARQL_16,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_16.sparql
17a.03,,What is the most recent version of the information in the DPP?,,SPARQL_17,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_17.sparql
17c.01,"A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allof for querying and reasoning with temporal information.","When was this piece of information/statement recorded/observed, added to the DPP, changed, or when does it cease to be valid?",same as 17a.01,,
17c.02,,"When was this DPP created, updated, changed, or ceased to be valid?",same as 17a.02,,
17c.03,,What is the most recent version of the information in the DPP?,same as 17a.03,,
17v.01,"A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allof for querying and reasoning with temporal information.","When was this piece of information/statement recorded/observed, added to the DPP, changed, or when does it cease to be valid?",same as 17a.01,,
17v.02,,"When was this DPP created, updated, changed, or ceased to be valid?",same as 17a.02,,
17v.03,,What is the most recent version of the information in the DPP?,same as 17a.03,,
,,,,,
Use-case specific functional ontology requirements,,,,,
18v.01,A recycler wants to recycle a shoe.,What is the material composition of the product?,,SPARQL_18,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_18.sparql
18v.02,,What is the quality of the contained material?,,SPARQL_19,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_19.sparql
18v.03,,How can the product be disassembled?,,SPARQL_20,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_20.sparql
18v.04,,Is there a proof/certificate of the claims on material composition and quality?,,SPARQL_21,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_21.sparql
19v.01,A repairer wants to repair a shoe.,Are there any instructions on how to repair the product?,,SPARQL_22,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_22.sparql
19v.02,,What are the single components of this product?,,SPARQL_23,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_23.sparql
19v.03,,What are the characteristics of the components?,,SPARQL_24,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_24.sparql
19v.04,,How can the product be disassembled (if needed)?,same as 18v.03,,
19v.05,,What are the characteristics of the components in the product in order to decide on suitable spare parts?,same as 19v.03,,
19v.06,,What is the material composition of the spare parts?,,SPARQL_25,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_25.sparql
20v.01,A re-seller wants to re-sell a secondhand shoe to a re-user.,What is the remaining quality of the product?,,SPARQL_26,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_26.sparql
20v.02,,What is the material composition of the product?,same as 18v.01,,
20v.03,,Is there a proof/certificate of the claims on material composition and quality?,same as 18v.04,,
21v.01,A recycler wants to recycle a smartphone.,What is the composition of the product (components --> materials --> substances)?,,SPARQL_27,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_27.sparql
21v.02,,How can the product be disassembled?,same as 18v.03,,
21v.03,,Is there rare earth included in the smartphone?,,,
21v.04,,"If yes, how can it be retrieved?",,,
21v.05,,Are there any substances of concern in this product?,same as 1a.01,,
22v.01,A refurbisher wants to refurbish a smartphone.,What are the single components of this product?,same as 19v.02,,
22v.02,,What are the characteristics of the components?,same as 19v.03,,
22v.03,,How can the product be disassembled (if needed)?,same as 18v.03,,
22v.04,,What are the characteristics of the components in the product in order to decide on suitable spare parts?,same as 19v.03,,
22v.05,,What is the material composition of the spare parts?,same as 19v.06,,
23v.01,A repairer wants to repair a smartphone.,Are there any instructions on how to repair the product?,same as 19v.01,,
23v.02,,What are the single components of this product?,same as 19v.02,,
23v.03,,What are the characteristics of the components?,same as 19v.03,,
23v.04,,How can the product be disassembled (if needed)?,same as 18v.03,,
23v.05,,Which spare parts are needed for repairing the product?,same as 19v.05,,
23v.06,,What is the material composition of the spare parts?,same as 19v.06,,
24v.01,A re-seller wants to re-sell a secondhand smartphone to a re-user.,What is the remaining quality of the product?,same as 20v.01,,
24v.02,,What is the component composition of the product?,,SPARQL_28,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_28.sparql
24v.03,,Is there a certification of the product?,,SPARQL_29,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_29.sparql
,,,,,
,,,,,
Colour Legend:,Covered in our DPP ontology network,,,,
,Partially covered in our DPP ontology network,,,,
,Duplicate,,,,
,Left for future work (decided during the ontology design),,,,
,Left for future work (decided when we created the SPARQL queries),,,,
