Requirement Category,Identified Requirement,To whom should this information be provided?,Ontology Story (Authority),CQs (Authority),CS (Authority),RR (Authority),Ontology Story (Consumer),CQs (Consumer),CS (Consumer),RR (Consumer),Ontology Story (Value Chain Actor),CQs (Value Chain Actor),CS (Value Chain Actor),RR (Value Chain Actor),Non-functional ontology requirements
,Enable data verification,"Authorities, Consumers, Value Chain Actors",An authority wants to check/verify the DPP information provided by the value chain actors for a specific product.,(1) What part of the data has been verified? (2) What methodology was used to verify the data?,,,A consumer wants to check/verify the DPP information provided by the value chain actors for a specific product they are considering to buy.,(1) What part of the data has been verified?,,,A value chain actor wants to check/verify the DPP information provided by another value chain actor for a specific product.,(1) What part of the data has been verified? (2) What methodology was used to verify the data?,,,Immutable statements
,Ensure data sovereignty,,,,,,,,,,,,,,
,Ensure secure data storage,,,,,,,,,,,,,,
Interoperability,Provide clear semantics,Value Chain Actors,,,,,,,,,"A new and very speficic product enters the market, The producer/manufacturer wants to provide the respective information for this product via its DPP. But the ontology/data model does not allow to provide a specific piece of information. So, the employee of the producer has to understand the existing ontology in order to extend it and specify it for the new product.",(1) What is the defintion and axiomization of the ontology? (2) What are the consequences of extending/changing the ontology?,,,"Use of standards, usability of ontology (humans and machines), use of best practices, FAIR publishing of ontology"
,,"Authorities, Consumers, Value Chain Actors",An authority wants to understand what the information of a product means and how it can be compared to the information of other products.,(1) What is the meaning of a specific information within a DPP?,,,A consumer wants to understand what the information of a product means and how it can be compared to the information of other products.,(1) What is the meaning of a specific information within a DPP?,,,A value chain actor wants to understand what the information of a product means and how it can be compared to the information of other products.,(1) What is the meaning of a specific information within a DPP?,,,
,Standardize data schemas describing the products,Value Chain Actors,,,,,,,,,There is already an existing ontology for a specific product that should be re-used because it is already a de-facto standard and it would be very time-consuming to model it again as an extension of the DPP ontology / ODPs. An employee of the product's producer wants to to use this de-facto standard ontology and therefore wants to integrate it into the DPP ontology.,(1) What is the potential overlap or connection between the existing ontology and the DPP ontology? (2) What are the consequences of integrating the existing ontology into the DPP ontology?,,,"Alignments to standards, consensus on the ontology"
,Provide an application interface (API) for data provision and data request,,,,,,,,,,,,,,
Modularity and modifiability,"Ensure flexibility to add/edit/remove actors, products, or product attributes",Value Chain Actors,,,,,,,,,"A product changes over time (e.g., because it got refurbished by the manufacturer). Thus, the product attributes change. The producer wants to update the product attributes of this product. But he cannot add all the information because the ""old"" DPP ontology module does not cover all the new, additional aspects. So, the producer wants to adapt the DPP ontology module in order to cover the new specifications of the rufurbished product.",(1) What are the consequences of changing/adapting the ontology?,,,"Modularity, extensibility, evolvability, use of a flexible data model (e.g. graph data)"
,"Ensure readiness for broader, international use",Value Chain Actors,,,,,,,,,"Information was provided by a value chain actor for a specifc product in China. Another value chain actor wants to view the provided DPP infomation, but not in Chinese but in English.","(1) What is the translation of the information of the DPP into the language that is needed (e.g., English, Chinese)?",,,"Ontology localization (translation), modularisation"
Accessibility,Allow the determination and implementation of access rules,"Authorities, Consumers, Value Chain Actors",An authority wants to view the DPP information of a specific product.,"(1) Which and what kind of information can the authority see? (2) Can the authority only view the information, or also comment on it for example?",Every piece of information contained in a DPP has to have an access rule.,Access rules for specific statements can be derived from rules for the DPP as a whole or parts of it.,A consumer wants to view the DPP information of a specific product.,(1) Which and what kind of information can the consumer see?,Every piece of information contained in a DPP has to have an access rule.,Access rules for specific statements can be derived from rules for the DPP as a whole or parts of it.,"A producer wants to view the DPP information of a specific product component (provided by a supplier). Also, the producer wants to change/edit/add the DPP information of this product component because it will be somehow changed.","(1) Which and what kind of information can the producer see? (2) Can the producer only view the information, or can he also change/edit/add the information for the component provided by the supplier?",Every piece of information contained in a DPP has to have an access rule.,Access rules for specific statements can be derived from rules for the DPP as a whole or parts of it.,Metadata (access control in the ontology and granularity)
,Ensure participation opportunities for actors who do not have their own information system,,,,,,,,,,,,,,
Availability and time behavior,Ensure appropriate availability of the DPP information  (depends on use case),"Authorities, Consumers, Value Chain Actors",There is a product that was produced by a company which does not exist anymore. An authority still wants to have access to the respective DPP information of this product because the product is still on the market and consumers still own it.,"(1) Is the actor, who provided the DPP information still active/existing? (2) Is the information that was provided by this actor still available? (3) If yes, where?",,,There is a product that was produced by a company which does not exist anymore. A consumer still wants to have access to the respective DPP information of this product because the product is still in the market and the consumer owns one of them.,"(1) Is the actor, who provided the DPP information still active/existing? (2) Is the information that was provided by this actor still available? (3) If yes, where?",,,"There is a product that was produced by a company which does not exist anymore. A value chain actor (e.g., repairer) wants to have access to the respective DPP information of this product because the product is still in the market and the repairer repairs one of these products and therefore wants to get the product composition information of this product from the DPP and also wants to update the respective DPP information after he repaired the product.","(1) Is the actor, who provided the DPP information still active/existing? (2) Is the information that was provided by this actor still available? (3) If yes, where?",,,FAIR publishing
,Enable real-time data if needed (depends on use case),"Authorities, Consumers, Value Chain Actors","A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allow for querying and reasoning with temporal information.","(1) When was this piece of information/statement recorded/observed, added to the DPP, changed, or when was does it cease to be valid? (2) When was this DPP created, updated, changed, or ceases to be valid? (3) What is the most recent version of the information in the DPP?",Each piece of DPP information has exactly one creation/update timestamp. ,"The concept of ""most recent"" should be inferred based on timestamps, but most likely in a query and not in terms of OWL reasoning.","A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allof for querying and reasoning with temporal information.","(1) When was this piece of information/statement recorded/observed, added to the DPP, changed, or when was does it cease to be valid? (2) When was this DPP created, updated, changed, or ceases to be valid? (3) What is the most recent version of the information in the DPP?",Each DPP has exactly one creation timestamp. ,"The concept of ""most recent"" should be inferred based on timestamps, but most likely in a query and not in terms of OWL reasoning.","A piece of information inside a DPP can be associated with several timestamps, for instance when the information was observed, when it was added to the DPP and when it ceases to be valid, in order to allof for querying and reasoning with temporal information.","(1) When was this piece of information/statement recorded/observed, added to the DPP, changed, or when was does it cease to be valid? (2) When was this DPP created, updated, changed, or ceases to be valid? (3) What is the most recent version of the information in the DPP?",Each DPP has exactly one creation timestamp. ,"The concept of ""most recent"" should be inferred based on timestamps, but most likely in a query and not in terms of OWL reasoning.",Metadata (timestamps)
Portability,Ensure that product identifiers and the DPP information are transferable from one software system to another,,,,,,,,,,,,,,Use of standards (e.g. web standards)
,Avoid a centrally managed register for the product identifiers,,,,,,,,,,,,,,Dereferencable identifiers 
,Ensure that product identifiers are referenceable and harmonizable throughout the entire EU,,,,,,,,,,,,,,Dereferencable identifiers 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Colour Legend:,out of scope,,,,,,,,,,,,,,
